CHAMPION	DIFFICULTY	WHAT TO DO	
Irelia	Medium	Lethal Tempo Runes and Build. Ignite + Flash. Long sword refillable potion start. Tryndamere can beat irelia in allins early BUT you must be careful about her passive and conqueror. She stacks both very quickly and can burst you down and use your own minion wave to kite you. Levels 1 and 2 you can get a good advantage on her if she doesn't play back early on. Look to sidestep her E when she casts it, if you dodge her E that can be a very good time to force a trade. Remember when forcing an extended trade early, do your best to start off the trade with an auto attack that way you can extend the trade with your spin to keep on top of her after she disengages. Some Irelia's will start e or w level 1 to get minions from range but if she uses her cooldown try to position yourself forward so that if she walks in your spin range after she used her ability you can get a good trade on her. Post 6 You will win every allin as long as you start the allin with close to full fury and 90% or more hp. A good tip against Irelia is to fight her away from your minion wave, Irelia cannot kite away from you if she doesn't have your minions to dash around. In the mid-late game splitpush you will win the 1v1's as long as you dont get kited too hard. What I like to do sometimes against Irelia is dive them 100-0 right after they have killed my minion wave so that they can't kite away. Her W is a 50% physical damage reduction channel but only lasts 2 seconds.	
Ivern	Trolling	If you play against an ivern top he is trolling.	
Janna	Easy	Fleet Footwork Runes and Build. Ignite + Flash. Dorans shield start. Janna does not have enough damage to poke you out of lane. Tryndamere with this setup just has too much sustain. It can be hard to stick on top of janna with her knockup on her tornado and her slow with W. She is gonna have a really hard time farming under turret though so if you can't kill her then shove her in make her use mana to farm then kill her when she goes out of mana. Also you should watch this video when I played janna top vs a bronze 5 tryndamere on the LAN server. https://www.youtube.com/watch?v=5oHNoJe5wzQ&t=	
Jarvan IV	Easy	Lethal Tempo Runes and Build. Ignite + Flash. Long sword refillable potion start. J4 has decent short trades with his shield and passive auto every 10 seconds and has good burst but struggles heavily vs tryndamere's sustained damage. Look for spots where you can start trades with an auto attack and extend trades with your spin. Longer trades are better for Tryndamere in this matchup. Be sure to try and sidestep J4's e+q combo when he kites away from you, often times if you dodge his e+ q knockup when he is trying to disengage you can stick on top of him and kill him after his dash (especially if you have spin.) If J4 ults you and you flash away from his ult before it lands, you can actually dodge J4's ultimate damage. In the mid-late game splitpush, if J4 goes full tank you can ignore his damage and hit turret, if he goes bruiser build you can look to dive him 100-0 as long as you dodge his knockup from his e+q or if you have summoner spell advantage. If you don't think you can dive J4 you can always shove him in and outrotate him with your superior mobility.	
Jax	Medium	Grasp Runes and Build. Ignite + Flash. Dorans blade start. Jax is a matchup that you MUST get an advantage on early game if you want to have good impact on the splitpush. The reason we take grasp is to help us get an advantage early. Grasp does not scale into jax it is purely for early game power. The reason why grasp is so good into this matchup is that you can get VERY good short trades and have a huge amount of sustain. Its hard to take extended trades against Jax because of his counterstrike stopping the allin. But if you do want to set up an allin for a kill this is how you do it. Build up your grasp by attacking minions, attack jax with the grasp proc, he will counterstrike. Walk up into his body and spin away so that you deal the spin damage on the way out. Now you have some time for a really good trade on jax while he has no counterstrike. Tryndamere's spin is a 12 second cooldown, meanwhile jax's counterstrike cooldown is 14 seconds level 1. You want to get an early level 2 in this matchup so make sure that you force a small trade early to burn jax's counterstrike before he stacks up his attack speed on his passive and then shove for level 2. Usually the player who gets level 2 first in this matchup will win the early game. When diving jax, try to burn his counter strike cooldown by auto attacking him under turret until he uses it then spin out of turret range. Then look to reengage the dive while his counterstrike is on cooldown. In the mid-late game splitpush you win if you have a lead, but lose if you don't have a lead. If you are losing the splitpush, look to force jax to come to you in the sidelane and look to make a rotation towards your team. Check out the gameplay of me vs tfblade jax to see how to trade effectively in the jax matchup https://youtu.be/1DaZ4tE9Iuk If you are winning the splitpush make sure to put pressure on jax at the same time as your team (if you put pressure on him before your team pressures they gonna goon squad you.) If you want to check out an advanced video guide on dueling against jax check out this video https://www.youtube.com/watch?v=nfQ3NEetiTI	
Jayce	Hard	Lethal Tempo Runes and Build. Ghost + Flash. Cloth 4 potions start. Jayce is a matchup that you DO NOT trade with early. You purely look to farm and that is it. You will be down farm but as long as you stay even in experience you can outscale him in the 1v1. Tips to avoid damage, 1. When farming under turret while he is pressuring you, you do not have to go for every single minion. If you have taken too much damage usually you do not want to go for the ranged minions because they are closer to the Jayce that is pressuring you and Jayce can deal a lot more damage to you going for ranged minions then he can while you are hitting the melees. Post 6 when you have a good amount of fury and hp if he overextends in the lane against you, you can run him down with your ghost + flash and win in a single all in. You do not want to take short trades against Jayce you only want to all in and thats it. Every allin you take against Jayce have your ghost up or you can get bursted and kited. In the mid-late game you will win allins vs Jayce in the 1v1 even when diving as long as you have ghost up and he doesnt have flash advantage on you.	
Jhin	Easy	Fleet Footwork Runes and Build. Ignite + Flash. Dorans shield start. Look to build up fury without taking too much damage and you can trade with him even from level 1 with a good amount of fury/hp. Get level two first and shove in the wave so that it pushes back against you, then you can look for a level 4 all in when the wave is on your side of the lane. Jhin is immobile but has a slight movespeed increase early with his 4th auto. Mid-late game splitting against Jhin can be hard if he goes a build with swfities and a lot of movespeed but as long as you hit your w slow and have cdr you should be able to stick onto him 1v1. If he calls an ally to hold the turret with him, just rotate and potentially start a 4 vs 3 fight in your favor.	
Jinx	Easy	Fleet Footwork Runes and Build. Ignite + Flash. Dorans shield start. Can look for trades even from level 1. Just look to build up fury and spin on her when she comes in range. Even if you lose out on the trade, you have sustain and jinx doesn't. Remember that her traps will actually stop your spin, so dont try to spin through her traps. In the mid-late game splitpush she cannot handle you 1v1 so just dive her 100-0 if she holds turret by herself.	
Kaisa	Easy	Fleet Footwork Runes and Build. Ignite + Flash. Dorans shield start. Kaisa has pretty good poke damage early on but she is mostly immobile besides a small speed up on her E. If she takes ignite or something like that to cheese you early on you can farm up while trying to avoid damage until 6 and then outscale her. In the mid-late game splitpush Kaisa can kite you with her ultimate and her dash but if you hit your w slow its over for her. If you want to play it safe try to get a w slow before spinning in on her.	
Kalista	Medium	Lethal Tempo Runes and Build. Ghost + Flash or Ignite + Flash. Long sword refillable potion start. Kalista can stack up a lot of damage on you with her spears to burst you at once. In the early game they don't do as much damage so if you can build up fury without taking too much damage level one, you can look for an early all in with your ghost to atleast burn her flash and take control of the lane. If you misplay a trade though and you get behind, look to soak experience and get whatever farm you can get. You outscale her in the 1v1 with tier two boots + essence reaver. Just make sure when you get your spike in items that you all in with your summoners up. In the mid-late game splitpush Kalista will have to call an ally to match against you, so just look to push in and outrotate the two stopping you and flank their team with a man advantage. And if Kalista tries to hold the turret by herself you can just dive her.	
Karma	Medium	Lethal Tempo Runes and Build. Ignite + Flash. Dorans shield start. Karma has really strong poke early on so try to avoid damage by dodging her q's and using the brushes top lane to avoid auto attacks. You can take short trades into Karma if you are able to build up fury without taking too much damage and maybe her q or w are on cooldown. Punishing cooldowns is the best way to handle a ranged matchup like karma. If she misses an ultimate Q or wastes her shield, that could be a good time for a trade. Tryndamere will outscale Karma in the 1v1 going into the mid-late game with about 2-3 items. Make sure when you allin that you use your ignite early to reduce the effectiveness of her heal from her mantra W. When using your W slow keep in mind that Karma will turn back to face you when she auto attacks, uses her q, or uses her w.	
Karthus	Easy	Lethal Tempo Runes and Build. Ignite + Flash. Dorans shield start. Karthus q's are really annoying early but he is gated by his mana pool, so if you dodge enough of his q's he will eventually not have enough mana to fight you and you can all in and win. Post 6 you can all in and dive him even 100-0 and kill him because he is such a squishy champion with no mobility, there is a chance that his ultimate can kill you though so try to spin out and use your q with revitalize and proc your fleet footwork to try and survive. A good trick against karthus to bait out his q's and dodge them is to walk up to a minion acting like you are about to go up and auto it, then preemptively back off and dodge the q. Karthus players will usually try to use their q to hit you when you walk up for minions to try and guarantee the damage. Wave manipulation can win you lane vs a solo lane Karthus because if you have the wave on your side of the lane, then Karthus has to overextend to farm giving you room to spin on him and run him down. In the mid-late game Diving him can be tricky because he almost always will be able to 1 for 1 with you with his ultimate. If you want you can try to take multiple spin + 1-2 auto trades with him so that you can try to dive him without having to use your ultimate to kill him. Or you can shove him in and rotate to flank his team with your superior mobility.	
Kassadin	Easy	Lethal Tempo Runes and Build. Ignite + Flash. Dorans shield start. You can heavily outsustain kassadin in short trades, and if he is on your side of the lane he has no mobility pre 6 so you can run him down. Kassadin's trades early are fairly even with you, but you have the sustain advantage and when you get your tiamat you start winning all short trades as well. Kassadin can outscale you in the very late game (when he hits 16 with 4-5 items) but he can be heavily punished before then and held down. Basically put your team in a position to win before he hits his powerspike.	
Katarina	Easy	Lethal Tempo Runes and Build. Ignite + Flash. Dorans shield start. Katarina has a really weak level one that you can abuse, get level 2 advantage on her and look to take a good trade. Katarina does have a solid level 2 allin with ignite that she can burst you with but you have to fall below about half hp for her to kill you. Our sustained damage is so good and if shes not killing us in one combo then she cant beat us. A big part of this matchup is how well katarina roams so to deny that we need to put constant pressure on her and keep the wave shoved into her turret with tiamat. Mid-late game katarina has a really hard time dealing with us 1v1. The best time for you to go after katarina is if she doesn't have a minion wave to dash to.	
Kayle	Easy	Lethal Tempo Runes and Build. Ignite + Flash. Long sword refillable potion start. Kayle is EXTREMELY weak in the early game. She is melee until level 6so that means she is forced to either use spells to get minions or to walk up and auto attack. Even without much fury level one if kayle walks up and auto attacks a minion we need to position our character forward to auto attack her when she goes for the minion and the spin on her to extend the trade. Often times we can burn her flash levels one or two. Another big part of the matchup is when both characters hit 6, Tryndameres ult is a 110 second cooldown at level 1 however Kayle's ultimate level 1 has a 160 second cooldown. So if you ult and try to dive her or fight her and she ults and disengages. We have a 50 second window to kill her with an ultimate advantage if we wait for our ult to come back up. Mid-late game splitpush Tryndamere will win, and even when kayle hits level 16 Tryndamere still has a really good chance of winning the 1v1 especially if she is away from her turret.	
Kayn	Easy	Lethal Tempo Runes and Build. Ignite + Flash. Long sword refillable potion start. Kayn is weak early before his form, but that doesnt mean you should give him free damage towards his form. When you choose to trade with kayn, look to make it an all in. If you let kayn take short trades with you he will get to his form where he can fight you a lot better way more quickly. To force an extended trade, try to start off every trade with an auto attack that way you can save your spin to stick on top of him when he slows you and q's away. Also to set up an effective all in, make sure you try to manipulate the wave so it is closer to your turret. The closer your wave is to your turret, the further the kayn has to extend to get farm which means you will have more room to run him down.	
Kennen	Medium	Fleet Footwork Runes and Build. Ghost + Flash. Dorans shield start. Kennen is a tough matchup early game. Its important to try and survive until we have the gold for our tiamat. Once we get tiamat, we can look to take small trades with kennen, a good kennen will only allow you to get the spin damage + tiamat, but worse kennens you can get a spin + auto attack + tiamat before they disengage with their stun. If Kennen has no phase rush, you can use ghost + flash to run the kennen down the lane if they stun you. Stuns past the first one only last .5 seconds so you can use that window to setup an allin. Kennen has no sustain in his kit and with all the sustain in ours we can take worse trades but still end up winning the sustain war in the end. Be careful not to trade below half hp because he can look to burst you and take away your ultimate which takes away your kill pressure. If kennen takes phase rush do not use your W until after his phase rush is on cooldown. Mid-late game splitpush against kennen you can beat him with 3-4 items. Still might be hard to dive him with his zhonyas but if he is just sitting under turret farming, just shove in and look to outrotate him with your superior mobility.	
Kha Zix	Easy	Fleet Footwork Runes and Build. Ignite + Flash. Dorans shield start. Khazix has decent burst but for a solo lane khazix he is going to have a hard time trading with you while you are in a minion wave since he does not get isolation damage. Your sustain with the setup is too much and as long as you dont let your health drop too low he wont find opportunities to burst you. You can usually get a really big lead on a khazix in laning phase just because he typically isnt a top lane champion. In the mid-late game split push this is where khazix can catch you out. Make sure you are always pushing within your minion wave and dont get caught out in rotation.	
Kindred	Easy	Lethal Tempo Runes and Build. Ignite + Flash. Long sword refillable potion start. Kindred doesnt have enough range early to put enough pressure on you. Her damage is low and she needs time to scale. With lethal tempo + ignite you have really good all in pressure on her even from early levels. The way you win post 6 is by forcing kindred to ult before you have to ult, that way you have 5 seconds to kill her after her ult ends. If you are forced to ult before she ults remember that kindred's ulti lasts .25 seconds longer then the animation shows so wait just a little bit longer before trying to burst her at the end of her ultimate. In the mid-late game Kindred wont be tanky enough to survive your all in and will have to burn her ult before yours so you will win the 1v1.	
Kled	Medium	Lethal Tempo Runes and Build. Ignite + Flash. Long sword refillable potion start. Kled can be difficult in the early game if he lands too many q's on you to poke you down. Look to dodge his q's while you build up fury level one and if you dodge enough you can look for trades level 1 and level 2 assuming that you get level 2 first. IMPORTANT NOTE: When Kled dismounts, he gains courage for every auto attack on a champion, he gains courage for every last hit he gets, and he gets courage for hitting his dismounted q against you. So if you are looking to all in Kled MAKE SURE that you dismount him WITHOUT having to use ignite or your spin that way you can kill him immediately after the dismount. If you dismount him without having the ability to kill him immediately that is a mistake. Kled gets a lot of hp back when he remounts after he gets to 100 courage, so if you dismount him and cant kill him off his mount you basically just gave him at 300-400 hp potion. A strategy I employ if I can against kled is that I will look for short trades against kled and leave his mount at about 5-10% hp that way I can dismount him easily whenever I want and all in him right after. One thing to mention about kled's w is that he cannot control when he uses it EXCEPT for the first time he levels it up. Most good kled's will not level up their w (the 4 really fast auto attacks) until they are dismounted for the first time so that they can try to cheese a kill with the remount. So again make sure that if a kled is employing that strategy that you have enough damage to burst him so he cant remount during the allin. After kled has leveled up their W what they will do against Tryndamere is they will use their q and tiamat to farm so they can keep their w up and available to dash on you for an all in trade. If Kled ever uses his W on a minion, you have a 14 second cooldown on his level 1 w to look for a solid trade. In the mid-late game you outscale Kled really hard and can even 100-0 him under his turret once you are 4-5 items.	
Kog Maw	INTeresting	Fleet Footwork Runes and Build. Ignite + flash. Dorans shield start. Kogmaw is a ranged champion that can poke you down early but he is really squishy and immobile so you can kinda just run him down and kill him over and over again. The fleet proc will give you extra movespeed to stick to him as well as the sustain to deal with a ranged champion. An effective strategy to employ against an immobile champion like Kog'maw is to manipulate the wave so it is on your side of the lane. Doing this will force kogmaw to overextend to get farm. In the mid-late game splitpush Kogmaw cannot deal with you 1v1. If they send another person to help defend with him then rotate using your superior mobility to make a play elsewhere after pushing in.	
Leblanc	Medium	Fleet Footwork Runes and Build. Ignite + Flash. Dorans shield start. Leblanc is a really good lane bully. Avoid damage using the brushes top lane as well as potentially giving up minions of gold so you can collect more exp and sustain up with Q. Pre6 if she w's into you for a trade her W has a 18 second cooldown level 1 where you can potentially get a good trade in. For the most part you are going to be looking to farm this lane out because she does a very good job of kiting away from you. Before her first back though if she starts running out of mana because she is trying so hard to push you out of lane, then try to keep her from backing. The longer the lane goes without either of you two backing is beneficial for you since she needs damage and mana on her first back to pressure you harder.In the mid-late game splitpush Leblanc can handle Tryndamere in the 1v1 even while underleveled and underfarmed. If you find yourself having to 1v1 against a leblanc, look to shove her in and try to outrotate her. Leblanc doesnt have the best waveclear so she might be slow to respond.	
Lee Sin	Easy	Lethal Tempo Runes and Build. Ignite + Flash. Long sword refillable potion start. Lee sin really needs to hit his q in order to get effective trades on you. This is hard in a solo lane because you can always use minions to block his q and trading within a minion wave is no problem for Tryndamere. Lee sin has decent short trades if he hits his q, but tryndamere's all in is significantly better and it is easy for him to force trades. Post 6 Lee sin will look to burst you, with q + auto attack + e + ult + q + auto attack, then kite away with his w while you ult. Make sure you stay at a high amount of health so he cant do this burst without you being able to follow up. If Lee sin uses his ulti and doesnt burn your ultimate that is a HUGE advantage for you. Always look to start trades off with lee sin with an auto attack that way you can still use your spin to stick onto him when he w's away. In the mid-late game Tryndamere outscales Lee sin in the 1v1. Just have to be careful with Leesin's burst to make sure you dont miss your ultimate.	
Leona	Easy	Lethal Tempo Runes and Build. Ignite + Flash. Long sword refillable potion start. Bruiser leona top has decent damage but just not enough to take down tryndamere during an allin. If Leona takes aftershock just auto attack + spin away after she procs aftershock, then reengage when her aftershock is down. She does not have the damage alone to kill you but she can set up for jungle ganks pretty well so be aware that you might get camped top. In the mid-late game splitpush you can basically just push leona in and ignore her as you hit the turret infront of her face. Make sure you laugh at her before you spin away.	
Lissandra	Medium	Fleet Footwork Runes and Build. Ignite + flash. Dorans shield. Lissandra has really good poke but with this setup she will run out of mana before poking you out of lane. Just be careful if you fall below 1/3 hp that you look to sustain back up before walking up. Look to stand within your minion wave to force lissandra to push when she tries to poke you and also try to side step her Q. Keep in mind that Lissandra's q range extends after hitting a target. When you get tiamat, you can really force lissandra to use a lot of mana and you can sustain back up with your q and healing from runes by spinning in for short trades. Be patient on your eventual allin, its gonna take some time to prepare a solo kill on lissandra since she disengages really easily. And when you do go for the all in make sure you sustained back up so she cant force you to use your ultimate immediately. In the mid-late game Lissandra becomes annoying on the splitpush because she can clear waves really easily. Ive found it to be a better option to just shove in and force a rotation out of her by looking to flank her team, and then potentially heading back to the lane and shoving in before she rotates back over. Make use of your superior mobility to lissandra because Tryndamere can traverse the map much faster.	
Lucian	Hard	Lethal Tempo Runes and Build. Ignite + Flash. Dorans shield or cloth 4 start. Lucian has really good poke and in combat mobility even from early on in the game. Once your mobility outscales his is when you start to win. Look to farm safely early and avoid damage by using the brush and staying within your minion wave so that when he trades into you he is also shoving the wave in. Pick and choose which minions to go for under turret. The melee minions and cannon you should always look to get but the ranged minions are further from your turret where lucian can deal more damage to you, and ranged minions are also worth much less gold. Once you have Essence reaver stinger zerker greaves you should beat Lucian for the rest of the game in a 1v1 as long as you have full hp/fury before hand. In the mid-late game splitpush keep in mind that Lucian does have a strong disengage with his w into ultimate so if you are able to burn his ultimate cooldown without using yours, you will have a good time beating him up afterwards. With your W, make sure you keep in mind that a good time to cast it will be after he dashes away, auto attacks you, then kites back.	
Lulu	Medium	Fleet Footwork Runes and Build. Ignite + Flash. Dorans shield start. Lulu has good poke but is extremely squishy. If you are able to get on top of her even early levels you can crush her in trades. Make sure when you spin onto Lulu that you damage lulu with your spin and place your character in between Lulu and her escape path (usually her turret) that way she has to walk around you to get away, or kite in a different direction that doesn't benefit her. Your runes/build will sustain you if you take a bad trade and you will outscale Lulu in the 1v1. When using your w keep in mind she will turn to face you when she auto attacks, when she q's, and when she w's. Usually Lulu will polymorph you when you spin on her then q you after the polymorph is over. So usually you want to use your w slow after her q. In the mid-late game you can just run lulu down, she wont deal enough damage to burst you and you have so much mobility to stick onto her even with her kite.	
Lux	Easy	Fleet Footwork Runes and Build. Ignite + Flash. Dorans shield start. Lux has really good disengage with her q but if you spin towards her and then immediately juke to the side, sometimes you can dodge her q which will allow you to get a solid trade on her. After tiamat, you can just spin auto attack tiamat for a good trade then back off. You have sustain in your kit she doesnt. In the mid-late game if you are splitting against her, she has really good disengage and waveclear however she does not have the mobility to follow you if you shove her in then rotate to flank her team. Use your superior mobility to outmaneuver her.	
Malphite	Medium	Fleet Footwork Runes and Build. Ignite + Flash. Dorans shield start. A lot of malphite players are doing the Q max arcane comet build with biscuit delivery to have maximum poke against you in lane so we need that extra sustain from this runeset and dorans shield to sustain. A big part of malphite whether he goes the grasp full tank build or a ap bruiser build is that they need mana to poke you down and to farm. If you are able to outsustain a malphite's mana pool you can make them miss a lot of farm. Also, if you keep them pushed in they will use mana to farm as well. When you have malphite pushed under turret it is essential when you are in a position where you can pressure him that you use the auto + spin out trade under turret for harass as well as getting autos on his turret (past 5 minutes.) Once malphite gets his first back for an item, see what he gets. If he gets mana like a glacial shroud you have to be more patient, but if he buys something like a bamis cinder or chain vest then try to do more to burn down his mana pool. Once he has used his mana to try to chunk you down (and you keep sustaining back up) then you can look for bigger trades and maybe even a dive with your ignite. In the mid-late game against malphite a lot of times you won't have the damage to kill him if hes building full armor like most malphite players do or unless you are extremely far ahead of him, so what you need to do is shove in the lane and force him to collect the farm on the split, then you out rotate him and flank his team (if there is an opportunity to) before he can match your rotation. Tryndamere has really good mobility which you want to make sure you take advantage of. Here is an youtube video example of how to play/lane against malphite and how to itemize as well. https://youtu.be/BJFs5jWx_7Q   	Video: https://youtu.be/BJFs5jWx_7Q
Malzahar	Easy	Fleet Footwork Runes and Build. Ignite + Flash. Dorans shield start. Malzahar has good poke and is ranged so he can get some good auto attack damage on you early. After level 3 he will have his full combo to summon a bunch of voidlings on you if you ever spin in. A couple of tips to take advantage of malzahar: Look for trades if he summons his voidlings and puts his space aids on the wave, he cant get his voidlings to attack you if they are already focusing the wave. Something that may stop you from going all in and killing malzahar is his passive shield. Your w when you hit the slow can actually get rid of the shield though and his shield has a long cooldown (30 second cooldown before level 6) Once his shield is down, wait for your w to come back up then you can look to pressure him. Malzahar is an immobile champion so if you can get the wave on your side of the lane you can use the extra room to run him down as well. Post level 6 you have to be careful about jungle pressure because malzahar has one of the best setups for a jungler to gank for him. Buying QSS later in the game can get rid of the suppression on his ultimate. In the mid-late game malzahar will have a really tough time dealing with you 1v1 but if for some reason you dont think you can dive him, you can always shove in and outrotate him for a flank on his team (if there is an opportunity)	
Maokai	Easy	Conqueror or Lethal Tempo Runes and Build. Ignite + Flash. Long sword refillable potion start. The biggest thing about maokai matchup is sticking onto him with his ways of disengaging with his Q. Maokai can actually cancel tryndamere's spin with his Q knockup if he times it correctly, so you need to always look to start trades with an auto attack or wait until he q's minions to look to spin on him. Make sure that if you are doing an extended trade that you move your character in between auto attacks to stay between maokai and his escape path (usually his turret.) Maokai wants to take short trades with you, but Tryndamere wants the long trades. So make sure when you pressure him that you are manipulating your wave so that it is in a position where you have plenty of room to run him down. When you dive a Maokai after getting him low enough, make sure that you save your spin to stick onto him rather then just for damage. Always start a dive off with an auto attack if its possible that way you can save your spin to better stick onto your opponent. In the mid-late game Maokai gets really tanky, but on the splitpush if he is overextended past his turret you can still run him down. Maokai usually won't have enough damage to threaten a 1v1 solo kill against tryndamere. If you cannot dive maokai, use your mobility to outrotate him and look for spots to flank his team after pushing him in.	
Master Yi	Easy	Lethal Tempo Runes and Build. Ignite + Flash. Long sword refillable potion start. Be careful of master yi in the early levels! He actually has a lot of sustained damage. Tryndamere's base stats however scale really well (along with the AD he gets from his Q) so be patient for a few levels before looking for trades and post 6 make sure he has to commit hard into you to burn your ultimate or else he can burn your ultimate and kite pretty well. Master Yi's ultimate makes it so he is immune to slows so don't cast your W on him while he is ulting. In the mid-late game Tryndamere will usually win the 1v1 as long as he is even with Master yi. If Master Yi has rageblade however, make sure that you arent fighting him while his rageblade is fully stacked. Fight him in between waves where he cannot stack his rageblade.	
Miss Fortune	Easy	Fleet Footwork Runes and Build. Ignite + Flash. Dorans shield start. Miss fortune is immobile and squishy but she has strong poke. Just make sure you don't take too much damage before level 4 and you can look for an allin. Avoid damage by using the brush to hide your character while waiting for minions to get low enough to farm. MF's double up can actually crit if the minion it bounces off of dies, so be careful about hanging behind low hp minions. Post 6 you can pretty much all in MF whenever you want. In the mid-late game split push MF cannot hold you 1v1.	
Mordekaiser	Medium	Lethal Tempo Runes and Build. Ignite + Flash. Long sword refillable potion start. Mordekaiser has really good damage early, but our all in is just slightly better. When you look to trade with him try to dodge his abilities while fighting and that will improve your odds of winning an allin significantly. When mordekaiser ultis you he gets 10% of all of your stats and also all minions are not a factor. Be careful when pushing close to Mordekaiser's turret because if he pulls you into turret range that can be a way that he beats you. After about 2 items you have outscaled mordekaiser and will beat him 1v1 on the splitpush for the mid-late game. When Mordekaiser ults someone else, his location will be revealed by a floating red dot so if you are looking to chase him down, make sure you follow the dot.	
Morgana	Easy	Fleet Footwork Runes and Build. Ignite + Flash. Dorans shield start. It is hard to look for trades on a Morgana because she will always save her bind for when you spin on her. It is in your best interest to wait until you have a bit more damage with your tiamat before looking to force trades against her. If she does waste her bind though and you have spin available you can look for big trades. Morgana has really good crowd control with her bind and decent waveclear, but she also can't punish us for farming very much with our sustain so this is basically a free lane to farm up in. In the mid-late game split push it can be hard to dive Morgana because of her crowd control + zhonyas, but we can use our mobility to outrotate morgana to a fight after shoving her in. Morgana cannot fight us outside of turret range once we have about 3-4 items.	
Nami	INTeresting	Fleet Footwork Runes and Build. Ignite + Flash. Dorans shield start. Nami is a terrible laner. She has no waveclear, not enough poke, cant farm well. Don't get cheesed by anything early and you will win all game. Make sure to look to dodge her bubble after you spin on top of her.	
Nasus	Easy then Hard	Lethal Tempo Runes and Build. Ignite + Flash. Long sword refillable potion start. Nasus is VERY weak in the beginning of the game. Your ability to set up a snowball against him is what will determine your ability to split push against him in the mid-late game. Here is my general strategy against Nasus, Look to pressure hard level 1 and 2 with an extended trade, always start trades off with an auto attack when he goes up to farm a minion. Get level 2 advantage first. Get the second wave completely into turret before the third wave comes up so that the enemy minion wave can "bounce" towards you (aka push towards you.) Then only last hit at the last possible second while it pushes towards you, this makes it so you hold a freeze against him. Don't let the minion wave get too big or he will press E and hard shove the wave. Try to hit level 4 around the same time as nasus, once you are level 4 as long as you didnt take too much damage holding the position of the wave close to your turret you can look for an allin yourself OR you can set up easy ganks for your jungler. If you want, you can take tiamat to put a bunch of pressure onto nasus and you can choose to either hit nasus's turret for plates or take small auto attack + spin out trades (if you do it perfectly you don't take a turret shot.) Don't use your tiamat on the auto attack + spin out, instead after you spin out walk back in and press tiamat and damage him and walk out before you take turret aggro. Be looking to always set up ganks/dives for your jungler to easily take. In the mid-late game if you effectively shut down Nasus you can maintain pressure on him and/or rotate to flank his team while he tries to get back in the game. If you are behind in the mid-late game against him you need to look to use your superior mobility to make moves around him, but don't directly confront him 1v1 or he will drop D cane on you.	
Nautilus	Easy	Lethal Tempo Runes and Build. Ignite + Flash. Long sword refillable potion start. Nautilus gains extra damage on hit while his W shield is active but his damage is very minimal once his W shield is down. When you take trades vs nautilus make sure that they are extended trades rather then short trades. Even from early levels Nautilus will struggle against you, but he has a large amount of crowd control in his kit to set up ganks for his jungler so be paying attention to where the enemy jungler can be on the map. In the mid-late game nautilus will still not have damage but he will be very tanky. Look to catch him outside of his turret range for allins or if he is just sitting under turret farming, look to hit the turret while tanking his damage and ignoring him, or you can look to flank his team while he is farming under his turret.	
Neeko	Medium	Fleet Footwork Runes and Build. Ghost + Flash or Ignite + Flash. Dorans shield start. She has really good poke damage, can kite really well, has invisibility, has a really long snare and because of her elusiveness its hard to even ask for jungle ganks unless your jungle has really good crowd control. This lane is about SURVIVAL. It will be hard for you to deal with Neeko until you have about 3-4 items which can be hard to get to because of how well she can shut you down. Most of the time I will swap with my mid laner rather then face this matchup. (midlaners usually are ranged and can deal with something like Neeko a little bit better) If you have 40 CS at 10 min against Neeko that will be about average. Not everything is horrible though, there are some ways we can get a kill on her in lane. If she uses her snare and misses and we have a good amount of hp and fury that will be a good time to look for an allin. If you hit your w slow before spinning on Neeko and Neeko uses clone, the chicken effect will be on both the actual Neeko and the clone however the real Neeko will be slower which can giveaway which Neeko is the right one. Usually her clone will move at a faster move speed then the actual champion which is one small way to tell, but when you are caught up in a fight it can be hard to tell at first. In the mid-late game splitpush what I have done is buy a sweeper for when she uses her W that way I can try to track the real one from the beginning during the all in with my ghost. You must engage on her with full fury and if you can try to get her to face check you in a brush or around a corner or something if you want to try and guarantee a solo kill. If you cannot duel Neeko yet, THEN AVOID THIS MATCHUP AT ALL COSTS! Especially if it is glacial Neeko, you just cannot get away.	
Nidalee	Easy	Lethal Tempo Runes and Build. Ignite + Flash. Dorans shield start.  Nidalee is a ranged champion that can poke you down and use the brush for extra movespeed to kite you. Can look for heavy trades/allins early with your spin + nimbus cloak activation with your summoner spells. Remember that if you keep the wave close to your turret, you will have a lot more room to run her down if you find a good opportunity. If Nidalee builds AP, then she will be fairly squishy but will have high burst so make sure not to miss your ultimate. AD nidalee has more sustained damage and is usually decently tanky as well, but mostly useless because she doesnt deal enough damage to you to push you out of lane and can still be killed. You outscale nidalee in the 1v1 into the mid-late game, as long as you hit your w slow you can dive her under turret as well 100-0. 	
Nocturne	Easy	Lethal Tempo Runes and Build. Ignite + Flash. Long sword refillable potion start. Early game nocturne has strong waveclear and strong damage. He gains an AD boost when he throws his Q out and his fear makes extended trades really good for him. In lane, mostly look to farm, if he wastes his Q and doesnt hit it on you, you can look for short trades while it is down. If nocturne commits to you after his fear goes off and doesnt disengage, this can be a good time to look for an all in on him. If he does look to disengage and you wanna run him down remember that he has a spellshield for your W so try not to w into his spellshield. In the mid-late game you will beat nocturne in 1v1's but with his semi-global ultimate he can look to catch you out after you duel someone else or when you have low fury and try to win that way. You have the option to buy QSS when splitting against nocturne to get rid of his fear and run him down if you are splitting against him.	
